Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Host Organism]	Term Source REF	Term Accession Number	Characteristics[Host Strain]	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Characteristics[Seed Source]	Characteristics[Replicate]	Characteristics[Seed Sanitization]	Term Source REF	Term Accession Number	Factor Value[Organism Part]	Term Source REF	Term Accession Number	Factor Value[Sample Location]	Protocol REF	Parameter Value[Mean Growth Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Quantity of growth medium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Hardware]	Parameter Value[container]	Parameter Value[light source]	Term Source REF	Term Accession Number	Parameter Value[Light Cycle]	Unit	Term Source REF	Term Accession Number	Parameter Value[Light Intensity]	Unit	Term Source REF	Term Accession Number	Parameter Value[Light Color]	Parameter Value[growth environment]	Term Source REF	Term Accession Number	Parameter Value[Growth Time]	Unit	Term Source REF	Term Accession Number	Parameter Value[Red Light]	Unit	Term Source REF	Term Accession Number	Parameter Value[Green Light]	Unit	Term Source REF	Term Accession Number	Parameter Value[Blue Light]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Age at sample harvest]	Unit	Term Source REF	Term Accession Number
Q1-Wick3	Q1-Wick3	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Chile Pepper Institute, NMSU	3	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Wick			Science Carrier Quadrant 1	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	990	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Advanced Plant Habitat	Science Carrier	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	Red, Green, Blue	ISS-Japanese Experiment Module	RBO	http://purl.obolibrary.org/obo/RBO_00000041	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033	27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	40	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	sample collection	frozen	RBO	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033
Q1-Wick4	Q1-Wick4	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Chile Pepper Institute, NMSU	4	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Wick			Science Carrier Quadrant 1	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	990	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Advanced Plant Habitat	Science Carrier	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	Red, Green, Blue	ISS-Japanese Experiment Module	RBO	http://purl.obolibrary.org/obo/RBO_00000041	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033	27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	40	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	sample collection	frozen	RBO	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033
Q2-1-Swab3	Q2-1-Swab3	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Chile Pepper Institute, NMSU	3	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	Science Carrier Quadrant 2	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	990	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Advanced Plant Habitat	Science Carrier	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	Red, Green, Blue	ISS-Japanese Experiment Module	RBO	http://purl.obolibrary.org/obo/RBO_00000041	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033	27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	40	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	sample collection	frozen	RBO	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033
Q2-1-Swab4	Q2-1-Swab4	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Chile Pepper Institute, NMSU	4	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	Science Carrier Quadrant 2	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	990	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Advanced Plant Habitat	Science Carrier	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	Red, Green, Blue	ISS-Japanese Experiment Module	RBO	http://purl.obolibrary.org/obo/RBO_00000041	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033	27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	40	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	sample collection	frozen	RBO	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033
Q2-Foam1	Q2-Foam1	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Chile Pepper Institute, NMSU	1	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Foam			Science Carrier Quadrant 2	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	990	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Advanced Plant Habitat	Science Carrier	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	Red, Green, Blue	ISS-Japanese Experiment Module	RBO	http://purl.obolibrary.org/obo/RBO_00000041	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033	27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	40	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	sample collection	frozen	RBO	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033
Q2-Foam2	Q2-Foam2	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Chile Pepper Institute, NMSU	2	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Foam			Science Carrier Quadrant 2	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	990	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Advanced Plant Habitat	Science Carrier	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	Red, Green, Blue	ISS-Japanese Experiment Module	RBO	http://purl.obolibrary.org/obo/RBO_00000041	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033	27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	40	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	sample collection	frozen	RBO	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033
Q2-Foam3	Q2-Foam3	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Chile Pepper Institute, NMSU	3	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Foam			Science Carrier Quadrant 2	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	990	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Advanced Plant Habitat	Science Carrier	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	Red, Green, Blue	ISS-Japanese Experiment Module	RBO	http://purl.obolibrary.org/obo/RBO_00000041	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033	27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	40	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	sample collection	frozen	RBO	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033
Q2-Wick1	Q2-Wick1	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Chile Pepper Institute, NMSU	1	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Wick			Science Carrier Quadrant 2	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	990	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Advanced Plant Habitat	Science Carrier	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	Red, Green, Blue	ISS-Japanese Experiment Module	RBO	http://purl.obolibrary.org/obo/RBO_00000041	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033	27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	40	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	sample collection	frozen	RBO	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033
Q2-Wick2	Q2-Wick2	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Chile Pepper Institute, NMSU	2	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Wick			Science Carrier Quadrant 2	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	990	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Advanced Plant Habitat	Science Carrier	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	Red, Green, Blue	ISS-Japanese Experiment Module	RBO	http://purl.obolibrary.org/obo/RBO_00000041	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033	27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	40	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	sample collection	frozen	RBO	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033
Q2-Wick3	Q2-Wick3	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Chile Pepper Institute, NMSU	3	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Wick			Science Carrier Quadrant 2	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	990	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Advanced Plant Habitat	Science Carrier	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	Red, Green, Blue	ISS-Japanese Experiment Module	RBO	http://purl.obolibrary.org/obo/RBO_00000041	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033	27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	40	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	sample collection	frozen	RBO	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033
Q2-Wick4	Q2-Wick4	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Chile Pepper Institute, NMSU	4	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Wick			Science Carrier Quadrant 2	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	990	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Advanced Plant Habitat	Science Carrier	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	Red, Green, Blue	ISS-Japanese Experiment Module	RBO	http://purl.obolibrary.org/obo/RBO_00000041	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033	27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	40	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	sample collection	frozen	RBO	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033
Q3-1-Swab5	Q3-1-Swab5	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Chile Pepper Institute, NMSU	5	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	Science Carrier Quadrant 3	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	990	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Advanced Plant Habitat	Science Carrier	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	Red, Green, Blue	ISS-Japanese Experiment Module	RBO	http://purl.obolibrary.org/obo/RBO_00000041	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033	27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	40	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	sample collection	frozen	RBO	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033
Q3-1-Swab6	Q3-1-Swab6	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Chile Pepper Institute, NMSU	6	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	Science Carrier Quadrant 3	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	990	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Advanced Plant Habitat	Science Carrier	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	Red, Green, Blue	ISS-Japanese Experiment Module	RBO	http://purl.obolibrary.org/obo/RBO_00000041	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033	27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	40	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	sample collection	frozen	RBO	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033
Q3-Foam1	Q3-Foam1	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Chile Pepper Institute, NMSU	1	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Foam			Science Carrier Quadrant 3	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	990	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Advanced Plant Habitat	Science Carrier	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	Red, Green, Blue	ISS-Japanese Experiment Module	RBO	http://purl.obolibrary.org/obo/RBO_00000041	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033	27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	40	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	sample collection	frozen	RBO	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033
Q3-Foam2	Q3-Foam2	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Chile Pepper Institute, NMSU	2	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Foam			Science Carrier Quadrant 3	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	990	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Advanced Plant Habitat	Science Carrier	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	Red, Green, Blue	ISS-Japanese Experiment Module	RBO	http://purl.obolibrary.org/obo/RBO_00000041	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033	27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	40	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	sample collection	frozen	RBO	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033
Q3-Foam3	Q3-Foam3	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Chile Pepper Institute, NMSU	3	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Foam			Science Carrier Quadrant 3	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	990	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Advanced Plant Habitat	Science Carrier	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	Red, Green, Blue	ISS-Japanese Experiment Module	RBO	http://purl.obolibrary.org/obo/RBO_00000041	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033	27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	40	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	sample collection	frozen	RBO	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033
Q3-Wick1	Q3-Wick1	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Chile Pepper Institute, NMSU	1	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Wick			Science Carrier Quadrant 3	growth protocol	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	990	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	Advanced Plant Habitat	Science Carrier	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	Red, Green, Blue	ISS-Japanese Experiment Module	RBO	http://purl.obolibrary.org/obo/RBO_00000041	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033	27	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	40	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	sample collection	frozen	RBO	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	137	day	UO	http://purl.obolibrary.org/obo/UO_0000033
